,file,label,x0,y0,x1,y1,x_norm0,y_norm0,x_norm1,y_norm1
0,data\jaffe\KA.AN1.39.tiff,1,65,60,191,229,0.25691086,0.23581582,0.74693424,0.8960653
1,data\jaffe\KA.AN2.40.tiff,1,58,60,188,232,0.22708598,0.23586681,0.7351737,0.9083799
2,data\jaffe\KA.AN3.41.tiff,1,59,61,189,236,0.23271546,0.23912859,0.7391962,0.923226
3,data\jaffe\KA.DI1.42.tiff,3,60,61,188,236,0.23671359,0.2384884,0.73820513,0.92417324
4,data\jaffe\KA.DI2.43.tiff,3,58,60,189,238,0.22671798,0.23608908,0.7388058,0.9325466
5,data\jaffe\KA.DI3.44.tiff,3,53,58,189,240,0.2102992,0.22988924,0.7407827,0.94013953
6,data\jaffe\KA.FE1.45.tiff,4,60,59,189,243,0.2366513,0.23353732,0.7419934,0.95034695
7,data\jaffe\KA.FE2.46.tiff,4,57,60,188,242,0.2249293,0.23508152,0.7357191,0.9486822
8,data\jaffe\KA.FE3.47.tiff,4,62,59,188,241,0.24292876,0.2337023,0.73778397,0.94212174
9,data\jaffe\KA.FE4.48.tiff,4,65,61,192,240,0.25689036,0.23900613,0.7536623,0.9393158
10,data\jaffe\KA.HA1.29.tiff,5,68,57,193,238,0.26682192,0.22293061,0.7570463,0.93029183
11,data\jaffe\KA.HA2.30.tiff,5,64,56,191,240,0.25131455,0.22059795,0.7499275,0.9397044
12,data\jaffe\KA.HA3.31.tiff,5,64,56,193,242,0.2520199,0.22246435,0.7563627,0.9458673
13,data\jaffe\KA.HA4.32.tiff,5,66,58,192,236,0.25812036,0.22943115,0.7529442,0.9251684
14,data\jaffe\KA.NE1.26.tiff,0,66,53,195,233,0.2593121,0.208864,0.76207775,0.9119929
15,data\jaffe\KA.NE2.27.tiff,0,66,54,194,233,0.2584186,0.21305928,0.76136696,0.9112276
16,data\jaffe\KA.NE3.28.tiff,0,66,55,194,232,0.260936,0.21828392,0.7581438,0.9073875
17,data\jaffe\KA.SA1.33.tiff,6,64,54,192,232,0.25309974,0.21173424,0.75201446,0.9071284
18,data\jaffe\KA.SA2.34.tiff,6,63,56,192,234,0.24928078,0.21946755,0.7502991,0.9143704
19,data\jaffe\KA.SA3.35.tiff,6,64,56,193,234,0.25256482,0.22005644,0.75631285,0.9154209
20,data\jaffe\KA.SU1.36.tiff,7,62,56,191,239,0.24532256,0.22252178,0.74623215,0.9339398
21,data\jaffe\KA.SU2.37.tiff,7,67,60,189,236,0.2656179,0.2356427,0.7401667,0.92500365
22,data\jaffe\KA.SU3.38.tiff,7,65,60,188,244,0.25596416,0.23499101,0.7374734,0.95324236
23,data\jaffe\KL.AN1.167.tiff,1,65,54,189,219,0.25667334,0.21245247,0.74183434,0.85791224
24,data\jaffe\KL.AN2.168.tiff,1,65,54,189,217,0.2572145,0.21316743,0.7385853,0.8503207
25,data\jaffe\KL.AN3.169.tiff,1,66,57,187,218,0.2605278,0.22305381,0.7330716,0.85532844
26,data\jaffe\KL.DI1.170.tiff,3,68,56,191,220,0.26571935,0.22019148,0.746391,0.8597543
27,data\jaffe\KL.DI2.171.tiff,3,66,55,191,220,0.2600515,0.2185958,0.7468071,0.86312896
28,data\jaffe\KL.DI3.172.tiff,3,68,55,192,220,0.26852867,0.21515289,0.7523452,0.8621267
29,data\jaffe\KL.DI4.173.tiff,3,66,55,192,223,0.26105326,0.21867833,0.7526848,0.8712139
30,data\jaffe\KL.FE1.174.tiff,4,65,56,189,226,0.25772423,0.2218818,0.73833394,0.88496
31,data\jaffe\KL.FE2.175.tiff,4,67,56,189,221,0.26546085,0.22121182,0.740854,0.865428
32,data\jaffe\KL.FE3.176.tiff,4,66,56,191,224,0.25907177,0.22040465,0.74870044,0.8786738
33,data\jaffe\KL.HA1.158.tiff,5,68,57,192,220,0.26949495,0.22631982,0.7505825,0.8625803
34,data\jaffe\KL.HA2.159.tiff,5,68,56,193,224,0.2668863,0.22099671,0.75670236,0.87828434
35,data\jaffe\KL.HA3.160.tiff,5,68,57,193,223,0.26769382,0.22624522,0.75622755,0.871262
36,data\jaffe\KL.NE1.155.tiff,0,68,57,190,223,0.26770604,0.22584933,0.74413395,0.8742592
37,data\jaffe\KL.NE2.156.tiff,0,68,58,189,222,0.26821142,0.22695091,0.7402751,0.86846507
38,data\jaffe\KL.NE3.157.tiff,0,69,58,190,223,0.26966482,0.22834727,0.74231416,0.87117636
39,data\jaffe\KL.SA1.161.tiff,6,68,56,191,220,0.26699036,0.22177887,0.7466745,0.8616847
40,data\jaffe\KL.SA2.162.tiff,6,69,57,189,217,0.26984543,0.22366345,0.7387604,0.850356
41,data\jaffe\KL.SA3.163.tiff,6,67,55,192,222,0.26365283,0.21690533,0.75077605,0.86896455
42,data\jaffe\KL.SU1.164.tiff,7,66,59,189,234,0.26128954,0.23052269,0.74058145,0.9179136
43,data\jaffe\KL.SU2.165.tiff,7,67,59,192,241,0.26560384,0.23257744,0.7503672,0.9443464
44,data\jaffe\KL.SU3.166.tiff,7,67,58,191,238,0.26196784,0.22985902,0.74706906,0.932441
45,data\jaffe\KM.AN1.17.tiff,1,65,58,194,230,0.25589427,0.22728619,0.7612847,0.9015838
46,data\jaffe\KM.AN2.18.tiff,1,66,58,192,229,0.260382,0.22754598,0.75247043,0.89491904
47,data\jaffe\KM.AN3.19.tiff,1,66,59,192,229,0.258758,0.23096982,0.7520874,0.8963113
48,data\jaffe\KM.DI1.20.tiff,3,68,61,196,237,0.26664865,0.24109676,0.76808596,0.9261333
49,data\jaffe\KM.DI3.22.tiff,3,67,63,193,236,0.2650339,0.24803486,0.7571402,0.92516243
50,data\jaffe\KM.FE1.23.tiff,4,68,60,195,236,0.26708785,0.23757854,0.76396894,0.9253627
51,data\jaffe\KM.FE2.24.tiff,4,68,61,195,237,0.26685566,0.23969394,0.7642177,0.9286966
52,data\jaffe\KM.FE3.25.tiff,4,68,60,195,237,0.26705092,0.2365013,0.764756,0.9291675
53,data\jaffe\KM.HA1.4.tiff,5,65,61,195,234,0.25573137,0.23987368,0.762447,0.91696954
54,data\jaffe\KM.HA2.5.tiff,5,67,59,196,233,0.26248202,0.23262686,0.76749325,0.9139692
55,data\jaffe\KM.HA3.6.tiff,5,64,60,194,236,0.25211078,0.23657233,0.7608282,0.92248076
56,data\jaffe\KM.HA4.7.tiff,5,64,60,196,240,0.25319797,0.23728117,0.76858073,0.93838775
57,data\jaffe\KM.NE1.1.tiff,0,66,59,192,231,0.25903168,0.2310785,0.7525519,0.9058819
58,data\jaffe\KM.NE2.2.tiff,0,68,58,194,230,0.26578048,0.22802359,0.75788856,0.9014109
59,data\jaffe\KM.NE3.3.tiff,0,65,57,192,231,0.25776643,0.22295326,0.7519693,0.9037407
60,data\jaffe\KM.SA1.9.tiff,6,65,57,195,233,0.25693172,0.22518444,0.7630814,0.9107944
61,data\jaffe\KM.SA2.10.tiff,6,67,58,194,229,0.26200545,0.22966003,0.7612504,0.8974283
62,data\jaffe\KM.SA3.11.tiff,6,66,58,195,228,0.25814223,0.22794452,0.7625904,0.8938855
