,file,label,x0,y0,x1,y1,x_norm0,y_norm0,x_norm1,y_norm1
0,data\kanade\cohn-kanade-images\S005\001\S005_001_00000011.png,3.0,216,74,528,418,0.33850092,0.15130988,0.8257955,0.8535553
1,data\kanade\cohn-kanade-images\S005\001\S005_001_00000009.png,3.0,216,74,528,418,0.33850092,0.15130988,0.8257955,0.8535553
2,data\kanade\cohn-kanade-images\S005\001\S005_001_00000001.png,0.0,216,74,528,418,0.33850092,0.15130988,0.8257955,0.8535553
3,data\kanade\cohn-kanade-images\S010\002\S010_002_00000014.png,7.0,262,89,504,444,0.40958658,0.18334037,0.7876953,0.90623385
4,data\kanade\cohn-kanade-images\S010\002\S010_002_00000012.png,7.0,262,89,504,444,0.40958658,0.18334037,0.7876953,0.90623385
5,data\kanade\cohn-kanade-images\S010\002\S010_002_00000001.png,0.0,262,89,504,444,0.40958658,0.18334037,0.7876953,0.90623385
6,data\kanade\cohn-kanade-images\S010\004\S010_004_00000019.png,1.0,266,95,505,430,0.4170364,0.19442728,0.7903688,0.8778435
7,data\kanade\cohn-kanade-images\S010\004\S010_004_00000017.png,1.0,266,95,505,430,0.4170364,0.19442728,0.7903688,0.8778435
8,data\kanade\cohn-kanade-images\S010\004\S010_004_00000001.png,0.0,266,95,505,430,0.4170364,0.19442728,0.7903688,0.8778435
9,data\kanade\cohn-kanade-images\S010\006\S010_006_00000015.png,5.0,261,93,509,419,0.4082708,0.19127268,0.7957983,0.8552249
10,data\kanade\cohn-kanade-images\S010\006\S010_006_00000013.png,5.0,261,93,509,419,0.4082708,0.19127268,0.7957983,0.8552249
11,data\kanade\cohn-kanade-images\S010\006\S010_006_00000001.png,0.0,261,93,509,419,0.4082708,0.19127268,0.7957983,0.8552249
12,data\kanade\cohn-kanade-images\S011\001\S011_001_00000016.png,7.0,259,81,517,447,0.40623176,0.16540849,0.80793893,0.9130471
13,data\kanade\cohn-kanade-images\S011\001\S011_001_00000014.png,7.0,259,81,517,447,0.40623176,0.16540849,0.80793893,0.9130471
14,data\kanade\cohn-kanade-images\S011\001\S011_001_00000001.png,0.0,259,81,517,447,0.40623176,0.16540849,0.80793893,0.9130471
15,data\kanade\cohn-kanade-images\S011\002\S011_002_00000022.png,6.0,264,94,518,420,0.41294914,0.19349906,0.8108564,0.8590876
16,data\kanade\cohn-kanade-images\S011\002\S011_002_00000020.png,6.0,264,94,518,420,0.41294914,0.19349906,0.8108564,0.8590876
17,data\kanade\cohn-kanade-images\S011\002\S011_002_00000001.png,0.0,264,94,518,420,0.41294914,0.19349906,0.8108564,0.8590876
